4697495	AL
8864346	NC
9003279	KA
10106844	LA
11710020	KA
9156093	WY
11331123	IN
2777687	NY
11988363	AL
8626875	WA
6682395	LA
11480559	IN
10729053	WY
11952213	AK
6160589	IN
11807292	GA
1278553	NC
6341943	NC
1850978	HI
3308570	IN
7141932	CA
3265472	LA
2350670	IA
4371791	GA
1454173	NM
10698708	HI
7842456	IA
11919189	FL
9836109	WY
3324095	WY
2082026	NC
11036847	GA
11670009	NY
334719	IN
92610	WV
2936153	LA
7245003	IN
10161504	NC
4411799	WV
11809758	NC
11523447	AL
5857406	WA
3904109	DC
11560986	NY
10817859	LA
11899743	HI
4715906	CA
4894385	NY
1310566	AK
2728085	AZ
96201	CA
9750066	WA
10200003	GA
5848064	GA
11704014	IA
11832102	NC
8202132	FL
8281848	WA
198720	NC
9561918	AK
2324576	IA
11868246	WA
8929281	WA
3258851	HI
46914	CA
11945067	KA
9908376	WV
2387048	LA
11307141	GA
4551041	IA
11903316	HI
2408342	GA
10070034	IN
11959338	GA
8957964	AZ
9603651	NC
11958810	WV
11944386	HI
11991894	NC
2922986	WY
7489488	AK
11862330	WY
11532471	DC
904344	NC
1734275	AL
2503592	IN
11375178	WV
1523794	NC
10106574	KA
7082181	AZ
1760720	WA
2144669	AZ
3571610	NC
10096314	IA
7429464	NY
4256012	WV
6103346	FL
11096151	DC
5961782	WY
11570097	WY
5716010	WV
4918598	IA
7542939	NY
2399348	KA
1857125	CA
2557010	KA
11220504	DC
11903574	AK
1817381	WY
1985648	NM
1405588	FL
1849358	NM
6784380	HI
2979314	AZ
10066302	WV
11779899	KA
11780961	WV
3369545	WY
9875631	DC
7441485	WV
4706711	WV
289203	HI
2150309	NC
1421482	WY
2200319	KA
7841295	CA
8019636	NY
11328258	NM
425871	LA
5580095	DC
11670354	GA
11146338	GA
1634905	AZ
7518219	NM
8653812	KA
7386576	IA
8986101	IN
542712	IN
10081950	DC
11875914	NC
5470766	GA
11891046	GA
430278	IA
2096960	AZ
12597	WA
1343488	HI
6429885	NC
785241	CA
75852	NC
11828868	IA
8502909	WY
4177526	NM
9873471	NM
3154739	AK
769449	FL
2269829	AK
2551103	AK
11732787	CA
8747958	IN
2216495	LA
10484793	AK
160386	LA
1008646	WY
7802751	CA
11265015	IN
5877914	WV
3447032	IA
2145002	IN
11845086	KA
6499401	NM
11787990	WY
10615248	DC
11977590	WV
10808616	KA
11799423	WV
4611854	KA
11887755	WA
5893316	AK
8331756	NM
4405160	CA
11818329	AK
10553892	FL
1339087	KA
3774314	IN
1638328	NC
4319438	AZ
2084798	AL
7928721	WV
11787882	KA
3812384	WY
7776516	WY
6706356	WY
11913537	IA
2104280	DC
5342318	NC
3317006	DC
1137103	HI
1181404	IA
6685161	AL
2733437	NC
1412917	CA
11940477	WV
10900170	DC
2830163	CA
11768685	WV
5330567	AK
10232049	KA
7578588	IA
222450	LA
8117490	AL
3743198	WV
8932080	GA
11057049	WV
5555024	IN
3383543	HI
10689609	HI
5797955	NC
11762547	WA
6450957	CA
2084315	HI
4802534	AZ
2713544	AK
5498855	AK
3330107	DC
2593979	AL
93747	NC
5307407	NM
6131582	KA
9304377	WA
6422979	NM
11852328	IA
11394165	KA
8270343	IA
566745	AZ
11725428	WY
11573910	WV
11400933	WA
11422053	NM
10182024	NC
4840922	KA
9372384	KA
11845611	IA
6629874	LA
7947597	FL
11349831	NY
1916816	FL
6510144	AZ
11814996	CA
11024784	IN
159354	DC
5944448	NC
3405980	WV
1940549	AL
11832840	KA
520275	AK
1334062	KA
5135297	DC
11888205	WY
6073886	AZ
8297367	AK
3601208	IN
2669042	NY
6827763	AL
122313	AL
687901	AZ
7541317	NY
2513475	AL
11528755	WV
1580201	WY
6647188	AZ
2976366	NC
11115145	AZ
11754082	AK
2790882	KA
11966506	HI
6456283	IA
11945095	WY
3659052	WV
984349	NC
11493589	WA
4635750	GA
